datetime,open,high,low,close,volume
2024-01-01,13.01,13.3,12.98,13.23,11089
2024-01-02,13.64,13.84,13.56,13.81,8523
2024-01-03,13.91,14.04,13.52,13.67,12275
2024-01-04,14.24,14.28,13.78,13.93,12218
2024-01-05,14.02,14.26,13.83,13.91,13365
2024-01-06,13.8,14.06,13.76,13.84,13853
2024-01-07,14.51,14.76,14.34,14.59,11122
2024-01-08,14.45,14.87,14.32,14.34,13190
2024-01-09,14.27,14.4,14.03,14.25,12575
2024-01-10,14.55,15.08,14.39,14.87,9797
2024-01-11,14.42,14.78,14.02,14.21,10131
2024-01-12,15.67,15.86,15.26,15.4,14708
2024-01-13,14.95,14.98,14.65,14.8,14762
2024-01-14,14.38,14.87,14.35,14.6,14500
2024-01-15,15.55,15.68,15.3,15.68,8815
2024-01-16,14.72,15.24,14.42,15.09,10694
2024-01-17,15.75,15.81,15.15,15.43,8442
2024-01-18,15.62,15.7,15.42,15.69,11140
2024-01-19,16.42,16.59,15.95,15.96,14666
2024-01-20,16.21,16.65,15.81,15.82,8142
2024-01-21,15.48,15.85,15.38,15.66,12287
2024-01-22,15.9,16.49,15.8,16.04,9410
2024-01-23,16.07,16.38,15.75,15.97,12473
2024-01-24,15.95,16.42,15.66,16.3,14724
2024-01-25,16.75,16.9,16.46,16.84,8534
2024-01-26,16.59,16.77,16.22,16.7,9716
2024-01-27,17.03,17.14,16.61,16.66,11364
2024-01-28,16.98,17.13,16.56,16.94,9032
2024-01-29,17.03,17.29,16.88,17.09,11342
2024-01-30,16.52,16.66,16.04,16.65,9410
2024-01-31,17.29,17.37,17.02,17.11,14236
2024-02-01,17.89,18.13,17.84,17.99,14085
2024-02-02,17.7,17.8,17.61,17.71,14672
2024-02-03,17.19,17.5,17.03,17.32,13273
2024-02-04,17.11,17.43,17.04,17.41,12500
2024-02-05,17.33,17.61,17.12,17.53,14983
2024-02-06,18.0,18.3,17.78,18.1,9172
2024-02-07,18.39,18.59,18.15,18.45,8888
2024-02-08,18.22,18.29,18.18,18.26,11338
2024-02-09,18.24,18.34,18.13,18.26,12517
2024-02-10,18.11,18.38,18.03,18.2,9641
2024-02-11,18.83,19.04,18.46,18.56,8471
2024-02-12,18.53,18.93,18.15,18.34,10940
2024-02-13,18.1,18.2,17.81,18.13,8546
2024-02-14,19.38,19.6,19.31,19.33,12726
2024-02-15,18.58,18.72,18.51,18.66,11597
2024-02-16,18.42,19.2,18.38,18.99,13133
2024-02-17,19.41,19.44,19.07,19.41,10825
2024-02-18,19.82,20.1,19.69,19.76,11723
2024-02-19,19.21,19.84,19.14,19.53,13925
2024-02-20,19.32,19.72,19.12,19.22,8363
2024-02-21,19.56,19.67,19.55,19.62,10166
2024-02-22,19.69,19.75,19.58,19.63,11309
2024-02-23,19.89,20.61,19.7,19.94,8545
2024-02-24,20.7,20.82,20.42,20.45,11240
2024-02-25,19.49,19.69,19.31,19.44,14665
2024-02-26,20.4,20.68,19.68,20.2,12729
2024-02-27,20.52,20.73,20.03,20.31,9936
2024-02-28,19.97,20.32,19.96,20.2,13776
2024-02-29,20.73,21.08,20.51,20.88,8962
2024-03-01,20.37,20.56,19.79,20.28,11005
2024-03-02,20.14,20.54,19.97,20.22,11806
2024-03-03,20.72,21.02,20.63,20.77,8882
2024-03-04,21.13,21.21,20.69,20.87,11840
2024-03-05,20.24,20.8,20.16,20.3,14923
2024-03-06,19.67,20.07,19.54,19.87,8870
2024-03-07,19.76,20.03,19.52,19.93,12611
2024-03-08,20.79,21.04,20.19,20.35,10985
2024-03-09,19.95,20.16,19.78,19.99,13516
2024-03-10,19.56,19.9,19.46,19.83,8865
2024-03-11,19.51,20.25,19.28,19.86,14249
2024-03-12,19.54,19.84,19.15,19.66,13204
2024-03-13,20.01,20.1,19.78,20.04,12309
2024-03-14,19.45,19.47,19.25,19.26,11203
2024-03-15,19.31,19.34,19.11,19.14,10897
2024-03-16,18.89,19.16,18.7,18.89,10244
2024-03-17,18.96,19.12,18.59,19.05,8018
2024-03-18,18.86,18.9,18.77,18.79,8641
2024-03-19,18.74,19.17,18.63,19.09,11083
2024-03-20,19.33,19.43,18.79,18.93,13200
2024-03-21,18.64,18.92,18.39,18.51,8329
2024-03-22,19.09,19.15,18.85,18.92,8865
2024-03-23,18.89,19.11,18.7,19.1,8773
2024-03-24,18.92,19.27,18.51,18.66,12487
2024-03-25,17.61,17.71,17.4,17.7,12732
2024-03-26,18.77,19.11,18.55,18.97,10354
2024-03-27,18.49,18.56,18.48,18.5,11338
2024-03-28,18.76,18.78,18.75,18.77,11518
2024-03-29,18.2,18.53,18.03,18.42,10942
2024-03-30,18.2,18.46,18.0,18.38,14795
2024-03-31,17.77,18.02,17.62,17.96,14984
2024-04-01,17.54,17.97,17.37,17.73,13121
2024-04-02,17.75,17.83,17.6,17.83,10567
2024-04-03,17.13,17.48,16.97,17.41,9674
2024-04-04,17.52,17.76,17.36,17.66,10683
2024-04-05,16.86,16.97,16.36,16.65,11380
2024-04-06,17.52,17.68,17.34,17.36,8739
2024-04-07,17.44,17.76,17.28,17.65,9545
2024-04-08,17.38,17.81,17.01,17.19,12564
2024-04-09,17.19,17.73,16.97,17.58,10259
2024-04-10,17.38,17.46,16.85,16.89,9135
2024-04-11,17.44,17.56,17.14,17.18,13127
2024-04-12,16.41,16.63,16.27,16.52,14947
2024-04-13,17.06,17.35,16.75,16.98,14620
2024-04-14,16.39,16.87,16.38,16.67,8873
2024-04-15,16.45,16.52,16.34,16.44,12555
2024-04-16,15.6,15.8,15.47,15.64,10300
2024-04-17,16.07,16.37,15.7,16.24,13645
2024-04-18,16.19,16.33,16.01,16.29,8751
2024-04-19,16.27,16.38,16.12,16.38,13557
2024-04-20,16.28,16.52,16.23,16.51,13873
2024-04-21,16.38,16.64,16.2,16.56,8853
2024-04-22,15.94,16.27,15.85,16.23,11732
2024-04-23,15.76,15.76,15.46,15.59,10283
2024-04-24,15.39,15.7,15.16,15.57,9329
2024-04-25,15.55,15.95,15.53,15.79,8477
2024-04-26,15.8,15.92,15.57,15.63,10726
2024-04-27,15.95,16.05,15.85,15.87,11091
2024-04-28,16.2,16.21,16.01,16.04,14359
2024-04-29,16.06,16.25,15.66,15.88,14998
2024-04-30,15.94,16.33,15.49,15.55,12230
2024-05-01,15.14,15.28,14.88,15.17,13248
2024-05-02,15.03,15.55,14.85,15.32,12505
2024-05-03,15.38,15.83,14.92,15.32,13541
2024-05-04,14.55,14.83,14.5,14.69,13413
2024-05-05,14.29,14.5,13.95,14.48,9269
2024-05-06,14.34,14.49,14.22,14.32,13675
2024-05-07,14.36,14.59,14.0,14.19,12181
2024-05-08,13.78,14.17,13.55,13.94,10603
2024-05-09,14.6,14.78,14.1,14.34,13961
2024-05-10,13.68,13.93,13.48,13.87,9469
2024-05-11,13.8,13.94,13.6,13.84,8377
2024-05-12,14.27,14.47,14.18,14.2,9680
2024-05-13,13.87,14.05,13.61,13.95,13170
2024-05-14,13.57,13.96,13.45,13.93,8241
2024-05-15,14.4,14.48,14.13,14.21,8919
2024-05-16,14.06,14.28,13.9,14.18,13682
2024-05-17,14.65,14.94,13.95,14.5,14409
2024-05-18,13.94,14.39,13.88,14.2,14855
2024-05-19,14.56,15.15,14.51,14.78,13367
2024-05-20,14.7,14.81,14.53,14.53,8069
2024-05-21,14.66,14.68,14.34,14.6,11924
2024-05-22,15.02,15.11,15.01,15.11,14200
2024-05-23,14.6,14.81,14.48,14.53,13501
2024-05-24,15.34,15.78,15.12,15.53,10086
2024-05-25,14.98,15.08,14.96,14.96,10007
2024-05-26,14.83,15.01,14.37,14.8,8800
2024-05-27,15.41,15.53,15.16,15.49,13137
2024-05-28,15.14,15.53,14.95,15.3,10779
2024-05-29,16.16,16.3,16.03,16.15,12920
2024-05-30,15.52,15.94,15.27,15.53,8755
2024-05-31,15.79,16.08,15.75,15.88,14495
2024-06-01,15.28,15.68,15.08,15.49,9995
2024-06-02,16.28,16.37,15.93,16.28,13935
2024-06-03,15.84,16.17,15.68,15.93,9321
2024-06-04,16.29,16.72,16.22,16.49,10330
2024-06-05,16.29,16.75,16.02,16.28,13705
2024-06-06,16.24,16.28,15.83,15.92,8109
2024-06-07,16.63,16.83,16.5,16.7,9016
2024-06-08,17.11,17.4,16.7,16.81,14057
2024-06-09,17.6,17.72,16.99,17.17,14687
2024-06-10,17.31,17.66,17.1,17.5,13865
2024-06-11,17.73,17.89,17.72,17.73,11865
2024-06-12,17.96,18.24,17.16,17.54,8024
2024-06-13,17.46,17.64,17.46,17.49,12938
2024-06-14,17.11,17.12,16.84,17.1,10838
2024-06-15,17.38,17.78,17.29,17.71,8737
2024-06-16,17.74,18.0,17.27,17.84,14200
2024-06-17,17.95,18.35,17.53,17.84,8179
2024-06-18,18.7,18.79,18.19,18.22,8231
2024-06-19,18.45,18.72,18.16,18.49,9917
2024-06-20,17.7,18.42,17.42,18.03,8342
2024-06-21,17.87,18.18,17.56,18.15,12572
2024-06-22,18.48,18.59,17.98,18.48,13918
2024-06-23,18.7,19.05,18.32,18.46,10623
2024-06-24,18.41,18.78,18.17,18.28,8454
2024-06-25,18.69,18.74,18.5,18.6,13351
2024-06-26,18.91,19.11,18.61,18.65,12384
2024-06-27,19.36,19.78,19.31,19.51,13332
2024-06-28,19.78,19.99,19.52,19.78,14401
2024-06-29,18.96,19.25,18.85,19.07,12625
2024-06-30,19.63,19.89,19.59,19.68,14830
2024-07-01,19.7,20.04,19.48,19.91,10276
2024-07-02,19.25,19.35,19.17,19.32,8595
2024-07-03,19.93,20.19,19.83,19.94,11874
2024-07-04,20.7,20.92,20.33,20.78,12530
2024-07-05,20.31,20.57,20.22,20.34,12977
2024-07-06,20.27,20.39,19.89,20.19,13877
2024-07-07,20.47,20.68,20.21,20.22,12497
2024-07-08,20.17,20.31,19.86,19.91,10669
2024-07-09,20.93,20.97,20.63,20.78,10135
2024-07-10,21.09,21.68,21.07,21.35,14727
2024-07-11,20.57,20.65,20.42,20.64,11964
2024-07-12,20.38,20.45,19.87,20.43,9565
2024-07-13,20.8,21.17,20.64,20.94,8308
2024-07-14,21.59,21.76,21.33,21.52,8342
2024-07-15,20.94,21.52,20.91,21.26,8435
2024-07-16,21.6,21.68,20.98,21.26,8176
2024-07-17,21.88,22.1,21.18,21.64,8138
2024-07-18,21.92,21.93,21.72,21.83,8193
2024-07-19,21.45,21.84,20.94,21.46,11257
2024-07-20,22.19,22.31,21.84,21.94,11235
2024-07-21,22.12,22.3,21.9,21.98,13280
2024-07-22,22.28,22.4,21.8,22.06,8942
2024-07-23,22.06,22.24,22.04,22.07,12620
2024-07-24,23.14,23.49,22.64,22.79,11879
2024-07-25,22.67,22.71,22.34,22.43,13720
2024-07-26,22.25,22.32,22.01,22.15,11113
2024-07-27,23.21,23.26,22.81,22.95,10962
2024-07-28,23.13,23.34,23.09,23.22,14353
2024-07-29,22.53,22.9,22.48,22.76,12836
2024-07-30,22.79,22.81,22.44,22.72,12957
2024-07-31,22.58,22.77,22.53,22.59,8953
2024-08-01,22.53,22.64,22.24,22.57,9302
2024-08-02,23.14,23.29,22.78,22.9,13370
2024-08-03,22.46,22.72,22.33,22.42,11381
2024-08-04,22.65,22.66,22.31,22.6,13839
2024-08-05,21.88,22.31,21.77,21.95,10880
2024-08-06,22.19,22.24,21.91,22.01,10187
2024-08-07,22.45,22.64,22.09,22.31,12887
2024-08-08,21.85,22.05,21.64,21.67,8545
2024-08-09,22.01,22.4,21.82,22.11,13940
2024-08-10,21.77,21.86,21.18,21.51,13112
2024-08-11,21.86,22.1,21.36,21.49,9927
2024-08-12,22.15,22.35,21.91,21.98,13649
2024-08-13,21.08,21.41,20.76,21.24,12152
2024-08-14,21.14,21.49,21.06,21.3,14255
2024-08-15,21.26,21.43,21.22,21.34,8004
2024-08-16,21.0,21.21,20.92,21.11,11481
2024-08-17,21.0,21.12,20.87,21.01,13533
2024-08-18,20.93,21.16,20.65,20.81,11253
2024-08-19,20.38,20.79,20.0,20.32,9362
2024-08-20,20.75,21.07,20.67,20.71,9820
2024-08-21,20.23,20.61,20.2,20.28,13378
2024-08-22,20.61,20.73,20.07,20.62,14233
2024-08-23,20.85,21.01,20.68,20.69,10663
2024-08-24,19.23,19.78,19.1,19.63,10938
2024-08-25,20.47,20.66,20.45,20.47,14841
2024-08-26,19.89,19.94,19.83,19.83,9273
2024-08-27,19.96,19.97,19.41,19.81,11326
2024-08-28,19.26,19.71,19.18,19.46,11659
2024-08-29,19.47,20.01,19.41,19.68,10945
2024-08-30,19.66,19.86,19.53,19.54,11018
2024-08-31,19.35,19.8,19.18,19.73,9131
2024-09-01,19.35,19.57,18.86,19.08,12763
2024-09-02,19.74,19.94,19.52,19.69,14737
2024-09-03,19.59,19.77,19.06,19.28,10636
2024-09-04,18.78,19.24,18.7,19.0,14628
2024-09-05,18.72,19.17,18.36,18.81,11029
2024-09-06,18.18,18.76,18.09,18.67,11019
2024-09-07,18.42,18.79,18.06,18.58,13377
2024-09-08,18.55,18.7,18.42,18.59,14782
2024-09-09,17.98,18.38,17.8,18.37,13092
2024-09-10,18.05,18.15,17.92,18.13,14022
2024-09-11,17.87,18.35,17.78,18.27,12377
2024-09-12,17.8,17.92,17.54,17.85,11159
2024-09-13,18.32,18.6,17.98,18.09,13323
2024-09-14,17.81,18.04,17.41,17.82,14159
2024-09-15,18.32,18.68,17.91,17.99,13031
2024-09-16,18.12,18.34,17.96,17.97,8253
2024-09-17,18.13,18.53,17.83,17.86,13307
2024-09-18,17.39,17.57,17.27,17.55,8328
2024-09-19,17.32,17.51,17.11,17.47,10591
2024-09-20,17.21,17.33,16.66,17.14,10830
2024-09-21,17.01,17.64,16.94,17.33,11044
2024-09-22,17.35,17.63,16.78,17.25,9420
2024-09-23,16.37,16.53,16.14,16.44,13636
2024-09-24,17.18,17.36,16.78,16.91,11401
2024-09-25,17.24,17.25,17.06,17.1,10892
2024-09-26,16.69,16.79,16.29,16.47,13288
2024-09-27,16.15,16.58,16.06,16.3,13812
2024-09-28,16.45,16.61,16.24,16.24,14509
2024-09-29,16.09,16.29,15.64,15.8,13297
2024-09-30,16.18,16.26,16.13,16.18,8654
2024-10-01,15.9,16.18,15.43,16.05,13481
2024-10-02,15.84,16.19,15.7,15.99,8759
2024-10-03,16.19,16.44,15.7,15.95,14782
2024-10-04,16.01,16.34,15.38,15.47,9798
2024-10-05,15.49,15.69,15.04,15.68,13159
2024-10-06,15.42,15.67,15.28,15.63,10971
2024-10-07,15.42,15.52,15.01,15.24,12511
2024-10-08,15.25,15.51,15.0,15.4,11426
2024-10-09,15.4,15.62,14.64,15.19,8254
2024-10-10,14.96,15.11,14.78,14.87,13262
2024-10-11,15.03,15.12,14.75,15.03,11823
2024-10-12,14.95,15.13,14.63,14.86,9876
2024-10-13,15.24,15.27,14.96,15.16,10757
2024-10-14,14.84,14.89,14.78,14.88,10624
2024-10-15,14.21,14.59,14.08,14.56,12995
2024-10-16,15.07,15.09,14.94,15.03,14154
2024-10-17,15.33,15.49,15.02,15.02,12121
2024-10-18,14.3,14.75,14.16,14.63,11004
2024-10-19,14.98,15.21,14.83,15.18,12516
2024-10-20,15.24,15.4,15.07,15.16,11734
2024-10-21,14.7,15.28,14.34,14.69,9244
2024-10-22,14.83,15.02,14.6,14.75,13972
2024-10-23,14.77,15.05,14.76,14.91,14639
2024-10-24,14.95,15.13,14.58,14.72,13356
2024-10-25,15.15,15.24,14.88,15.14,14380
2024-10-26,15.13,15.31,14.99,14.99,9008
